category,englishExample,englishMeaning,headword,hindiExample,hindiMeaning,kashmiriExample
Adv,You are absolutely right.,absolutely,پوٗرٕپٲٹھۍ,,पूर्णतः,
VT,Dry sand absorbs water.,absorb,شرٛپُن,,सोखना,
VT,His business absorbs his time.,absorb,وَقٕت کھیوٚن,,ग्रहण_करना,
Adj,I was totally absorbed in the novel.,absorbed,مَس,,लीन/सोखा_हुआ,
N,You are requested to present the abstract of your paper.,abstract,خُلاصہٕ,,सारांश,
N,He is an abstract painter.,abstract,خیال,,भाव,
Adj,It is an abstract painting.,abstract,خیٲلی,,अमूर्त{कला_संबन्धी},
Adj,Beauty and love are abstract.,abstract,خیٲلی,,निराकार,
Adj,He has an abstract notion to change the system.,abstract,خیٲلی,,गूढ़,
V,Two other points must be abstracted from the lecture.,abstract,ہٹاوُن،کڑُن,,हटा_लेना,
V,Most novels are abstract.,abstract,تَصوُرٲتی،خیٲلی,,संक्षिप्त_बनाना/संक्षेप_करना,
N,She always talks in abstractions.,abstraction,خیال,,अमूर्तिकरण,
N,He was gazing at the lawn with an air of abstraction.,abstraction,خیال,,अन्यमनस्कता,
Adj,I find his ideas absurd.,absurd,فضوٗل,,निरर्थक/बेतुका,
Adj,That dress makes them look absurd.,absurd,چور,,मूर्ख/बुद्धिरूद्ध,
N,Child abuse is rampant in the world.,abuse,زبردٔستی,,दुर्व्यवहार,
N,The opposition party hurled abuses on the ruling party.,abuse,لٮ۪کہٕ,,अपशब्द,
N,There is widespread abuse of energy resources.,abuse,پامٲلی,,अधिक_दुरुपयोग,
VT,The rowdies abused the journalist for reporting about their anti-social activities.,abuse,لٮ۪کٕہ کڑنِہ،لانٕہ تانٕہ کرُن,,दुर्व्यवहार_करना,
Adj,The academic standards differ in the institutions.,academic,تعلیٖمی,,शैक्षक,
Adj,His knowledge is purely academic.,academic,تعلیٖمی,,सैद्धांतक,
Adj,Mr.Anand is quite an academic person.,academic,تَھدِپایُک وۄستاد,,उच्च_श्रेणी_का_शिक्षक,
N,The Royal Academy of drama sponsored them.,academy,اٮ۪کڑَمی، اِدارٕ,,शिक्षा_या_शोध_संस्थान,
N,There seems to be no acceleration in their economic growth.,acceleration,وُژھ،تیٖزی,,त्वरण,
VT,The machine only accepts 1 Re. coin.,accept,رَٹُن,,स्वीकार_करना,
Adj,A cup of tea would be most acceptable.,acceptable,قٲبلہِ قبوٗل,,स्वीकार्य,
N,We have their acceptance on this issue as well.,acceptance,منظوٗری,,स्वीकृति,
N,He was refused an access to the hallway.,access,وَتھ,,पहुँच,
V,I have an access to on-line Library.,access,پِِلَن پایہِ,,पहुँचना,
N,He met a car accident.,accident,حٲدِثٕہ,,दुर्घटना,
V,The hotel can accommodate upto 100 guests.,accommodate,وٲتِتھ،روٗزِتھ,,रह[रख]_सकना,
V,These policies are designed to accomodate all classes.,accommodate,مُروَت کَرٕنۍ,,समाविष्ट_करना[कराना],
V,Dinosaurs couldn`t accomodate to the changing environment.,accommodate,ہَم آہنٛگ گَژُھن,,समायोजित_करना,
V,The banks accomodate poor farmers with loan.,accommodate,مَدت کَرٕنۍ، مُروَت کَرٕنۍ,,सहायता_करना,
N,We found accomodation near the railway station itself.,accommodation,جاے,,आवास,
N,Polar bear are facing accomodation problem due to the global warming.,accommodation,روزنُک انتظام,,समायोजन,
VT,I accompanied her to the station.,accompany,سۭتۍ آسُن،سۭتۍ گَژُھن,,साथ_होना[जाना],
VT,The singer was accompanied by his friend.,accompany,ساتھ دیُن,,संगत_करना,
VT,We can collectively accomplish the task of nabbing the murderers.,accomplish,پوٗرٕ کَرُن,,पूरा_करना,
Adj,She is an accomplished artist.,accomplished,زانَن واجِنۍ,,निपुण,
N,Israel and Palestine signed a peace accord.,accord,مُہادٕ,,समझौता,
V,His thoughts and actions do not accord.,accord,مِیُل،رَلُن,,मिलना[मिलाना],
V,Ram was accorded this priviledge.,accord,دیُن,,देना,
N,The rules are in accordance with the custom.,accordance,ہِشَر، اِلحاد,,अनुरूप,
Prep,The work was done according to his instructions.,according,مُطٲبِق,,के_अनुसार,
Adv,You must work accordingly to the rules.,accordingly,تَمہِ مطٲبِق,,तदनुसार,
N,I have an account in the Central bank.,account,کھاتٕہ,,खाता,
N,He gave an account of his experience in trekking.,account,مُطالعہ,,विवरण,
VT,We could never account for this miscalculation.,account,خیال کَرُن,,कुछ_होने_की_आशंका,
VT,A person is accounted minor until 18 years.,account,مانٛنہٕ یُن,,मानना,
VT,The Indian market accounted for 40% of the total sales.,account,حِساب بوزُن,,निश्चित_मात्रा_में_होना,
N,The lawyer questioned the accuracy of my account.,accuracy,صداقت,,शुद्धता,
N,We can no more predict the changes with much greater accuracy.,accuracy,دُرُستی,,यथार्थता,
Adj,All his calculations are accurate.,accurate,صٔحیٖح،ٹھیٖک,,सही,
Adv,The article accurately reflects popular opinion.,accurately,صٔحیٖح پٲٹھۍ,,सही_ढंग_से,
VT,They will accuse us of incompetency.,accuse,تۄہمَتھ لاگٕنۍ،ہانٛژ لاگٕنۍ,,दोष_लगाना,
N,The accused was acquitted of the charge.,accused,قوٚصوٗر وار،خَطاوار,,अभियुक्त,
VT,He quickly accustomed himself to this new way of life.,accustom,عادت گژھن,,अभ्यस्त_होना,
Adj,His accustomed thoroughness of work impressed me.,accustomed,عٲدی,,अभ्यस्त,
N,I just need an ace of diamond to win the game.,ace,یَکہٕ,,इक्का{ताश_का},
N,V.Anand is an ace chess player of India.,ace,مٲہِر,,कुशल,
N,Pete Sampras hit 21 aces in yesterday`s match.,ace,ایس,,{टेनिस_में)सर्विस_जो_प्रतिद्वन्दी_नहीं_खेल_पाता,
Adj,V.Anand is an ace chess player.,ace,مٲہِر,,बहुत_अच्छा,
N,I am suffering from stomach ache since yesterday.,ache,دود،دَگ,,पीड़ा,
V,My heart aches on seeing her suffer.,ache,دَگ وۄتھٕنۍ,,दर्द_करना,
VT,She achieved her goal despite setbacks.,achieve,حٲصِل کَرُن,,पूरा_करना,
N,I congratulate you for your achievement.,achievement,کامیٲبی,,उपलब्धि,
N,This bottle contains acid.,acid,تیزٕآب,,तेजाब,
N,Irregular meals often release strong acid in the stomach.,acid,ژۄکٮ۪ر,,अम्ल,
VT,She will acquire the files by tommorrow.,acquire,حٲصِل کَرُن,,अर्जन_करना,
N,Acquisition of langauage is innate in a child.,acquisition,ہیٚچِھنۍ,,अर्जन,
N,The institute has been built on 35 acres of land.,acre,ایکَڑ,,एकड़{4840_वर्ग_गज_भूमि},
Prep,We ran all across the fields to catch the hens.,across,اَپارِیَپور ،ہُتِہ پٮ۪ٹھہٕ یور,,के~पारसभी~ओर,
Adv,I helped the old lady across the busy road.,across,اَپارِ پٮ۪ٹھہٕ یَپور,,आरपार,
Adv,We should be across the village by night.,across,اَپارِ,,उस_पार,
Adv,He leaned across to wait for us.,across,اَکی طَرفہٕ,,कोई_एक_दिशा_में,
Prep,The President`s address to the nation was broadcasted across the country.,across,ژۄپٲرۍ,,सभी_ओर,
Prep,My friend shouted from across the road.,across,ہُمِہ طَرفہٕ,,उस_पार_से,
Prep,She folded her arms across her chest while talking.,across,پٮ۪ٹھ ،بُتھِہ کَنِہ,,के_ऊपर_या_सामने,
Prep,The student drew a line across the sheet.,across,ہُتِہ پٮ۪ٹھہٕ یور تام,,वहाँ_से_यहाँ,
N,He shall certainly act in the play.,act,کٲم,,कार्य,
N,The murder of the King takes place in the first act of the play.,act,ڑرٛامُہک حِصٕہ،اٮ۪کٹ,,नाटक_का_अंग,
N,Parliament has passed an act which makes such sports illegal.,act,اٮ۪کٹ,,अधिनियम,
V,Many people speak but only few act.,act,عمَل کَرٕنۍ,,काम_करना,
V,She can act on the stage very well.,act,اداکٲری کَرٕنۍ,,अभिनय_करना,
Adj,The manager was acting on behalf of the president.,acting,حرکٔژ منٛز,,कार्यकारी,
N,She is not good at acting.,acting,اداکٲری,,अभिनय,
N,Her action offended everyone.,action,حَرکت,,क्रिया,
V,We can put the plan into action immediately.,action,عملہِ منٛز اَنُن,,कानूनी_कार्यवाही_करने_योग्य,
Adj,He is taking an active interest in the politics.,active,عَملی,,सक्रिय,
N,He is a sincere activist in the party.,activist,کار کُن,,सक्रिय,
N,The extra cirricular activity has to be implemented soon.,activity,کٲم،عمَل,,क्रिया-कलाप,
N,Ram is a good actor.,actor,اَداکار,,अभिनेता,
Adj,The actual cost of ring was much higher than we had expected.,actual,صٔحیح,,वास्तवक,
Adv,He is actually my relative.,actually,بزٲتی،ژَکِہ,,वास्तव_में/वस्तुत,
V,We can add some more sugar to the curd.,add,جَمع کَرُن,,जोड़ना,
V,I do not want to add onto my worries now.,add,بَڑاوُن,,बढाना,
V,Please add water to the concentrate.,add,رَلاوُن ،مِلاوُن,,मिलाना,
N,They will be useful addition to our company.,addition,جَمع,,जोड़,
N,This equipment is the latest addition to our office.,addition,ہُرٮ۪ر,,जोड़ी_गई_वस्तु,
N,The ventilation have been improved by the addition of windows.,addition,ہُرٮ۪ر,,जोड़ने_की_क्रिया,
Adj,There was an additional paper at the end of the seminar.,additional,علاوٕ,,अतिरिक्त,
N,I need an additional information on this topic.,additional,عَلاوٕ,,पता[अभिभाषण],
N,Please send the books on my home address.,address,نٮ۪ب,,पता,
N,The presidential address was very inspiring.,address,تَقریٖر,,भाषण,
V,The parcel has been addressed incorrectly.,address,نٮ۪ب لٮ۪کُھن,,पता_लिखना,
V,The president is about to address the nation.,address,تَقریٖر کَرُن,,भाषण_देना,
V,Please address all suggestions to the chairman.,address,شیٚچھ کَرنۍ,,निवेदन_करना,
V,You must address everyone in the meeting confidently.,address,وَنُن ،مُخٲطِب گَژُھن,,उपाधि_देना,
V,We need to address ourselves to the main problems of the group.,address,وٲقِف گَژُھن ،وٲقِف سَپدُن,,वाकिफ_करना[होना],
Adj,Drink adequate water and food to be energetic.,adequate,کٲفی ،سٮ۪ٹھا ہ،غَلبٕہ,,पर्याप्त,
Adj,The speech was not adequate to convince the gathering.,adequate,لایَق,,योग्य,
Adv,We are not adequately equipped to launch the new brand.,adequately,پوٗرٕ پٲٹھۍ ،اَنٛد ہٮ۪تھ,,पर्याप्त_रूप_में,
N,Notorious is the adjective which best describes him.,adjective,صِفَت،باوُت,,विशेषण,
V,The coffee shops adjoin the reception of the hotel.,adjoin,لَرِلوٚر آسُن,,संयुक्त_होना[करना],
V,We have to adjust to the changing conditions of weather.,adjust,ہَم آہنٛگ کَرُن,,अनुकूल_बनाना,
V,You need to adjust the rear view mirror to get a clear view.,adjust,صٔحیح پٲٹھۍ تھاوُن،سیوٚد کَرُن,,व्यवस्थित_करना,
V,We can adjust the balance later on.,adjust,برابر کَرُن,,बराबर_करना,
N,The car tyres needed light adjustment to drive on the hilly area.,adjustment,سٮ۪زَر,,सुधार/समायोजन,
V,We need to administer the budget accordingly.,administer,اِنتِظام کَرُن ،بُندٕبَستہٕ کَرُن,,प्रबन्ध_करना/प्रशासन_करना,
V,The Court of Law is responsible to administer justice.,administer,عملہِ منٛز اَنُن،نٲفِز کَرُن,,प्रभाव_में_लाना,
V,A special team was called to administer relief to the cyclone hit victims.,administer,دیُن، مٔحِیا کَرُن,,देना,
N,He works efficiently in the school administration.,administration,اِنتِظامِیہ,,प्रशासन,
Adj,A complex administrative problem came up suddenly.,administrative,اِنتِظٲمی,,प्रशासनिक/शासन_सम्बन्धित,
N,He works as an administrator in the public works department.,administrator,انتِظٲمۍ، کار کُن,,शासक,
V,I admire him for his wit.,admire,خۄش کران,,प्रशंसा_करना,
N,He got an admission to the Union club.,admission,دٲخلٕہ ،دَرٕج,,प्रवेश,
N,He made an admission that he lied.,admission,آنکار، یقرار,,स्वीकृति,
V,I cannot admit this erronous judgement.,admit,مانُن,,स्वीकार_करना,
V,We will admit only the membership holders into the conference hall.,admit,اَژنہٕ دیُن,,प्रवेश_देना,
V,The school admits only  50 students in a session.,admit,دٲخلہٕ دیُن ،دَرٕج کَرُن,,भर्ती_करना,
N,The adolescence is a difficult phase.,adolescence,یاوُن,,किशोरावस्था,
V,My husband and me want to adopt a baby girl.,adopt,منٛگتہٕ رَٹُن,,गोद_लेना,
V,We need to adopt only suitable values.,adopt,پاناوُن,,ग्रहण_करना,
V,They will adopt his apology without any hassels..,adopt,تَسلیٖم کَرُن ،مانُن,,स्वीकार_करना,
V,We have to adopt nearly all the rules.,adopt,تَسلیٖم کَرُن،مانُن,,मानना,
N,There is an only adult in their family.,adult,بالینٛغ,,बालग,
Adj,Adult movies are mostly prohibited for minors.,adult,بالینٛغ,,वयस्क,
N,The flood shall advance in no time.,advance,پھٲلُن,,फैलना/फैलाव,
N,They made incomparable advance in their business.,advance,تَرقِی,,विकास{दीर्घकालीनर},
N,Recent advances made in medicine are unimaginable.,advance,تَرقیٖ,,प्रगति,
N,The company paid an advance salary to its employees on New Year.,advance,مہوار,,अग्रिमराशि,
N,There was no advance in their economic state.,advance,ہُرٮ۪ر,,बढ़त,
N,She rejected his friendly advances.,advance,یارز،لول,,दोस्ती/प्यार_जताने_की_कोशिश,
N,We booked our tickets for the magic show in advance.,advance,برٛونٛہٕے,,पहले_ही,
N,His ideas are quite in advance of his times.,advance,اعلٰی ، تٔھد ۍ,,अग्रगामी,
Adj,The company did not give any advance notice of its closure.,advance,برٛونٛہٕے,,पूर्व,
V,The army was ordered to advance.,advance,برٛونٹھ پَکُن,,आगे_बढ़ना[बढाना],
V,The new policies led to an advance in the cost of shares.,advance,قۭمَت بَڑُن,,प्रगति_करना,
V,The government gave an advance to the farmers to help them buy good seeds.,advance,مہوار,,अग्रिम_राशि_देना,
V,The company has advanced a new policy.,advance,مشوَرٕدیُن,,विचार_या_सुझाव_देना,
V,The meeting advanced into late night due to the inconveniences in the city.,advance,برٛونٛہہ پَکناوُن,,निश्चित_समय_से_पूर्व_करना,
Adj,The advanced technology has resolved many complications.,advanced,تَرقی یافتہٕ,,उन्नत,
Adj,This version is meant for advanced learners.,advanced,مٲہِر,,उच्च_श्रेणी_के,
Adj,His advanced ideas proved profitable.,advanced,نٔوۍ,,नया/अभी_तक_सामान्य_रुप_से_स्वीकृति_ना_मिला_हुआ,
Adj,Their advanced age has not deterred them from travelling.,advanced,بَڑوٕنۍ,,बढ़ा_हुआ,
N,Raj made full advantage of the offer.,advantage,فٲیدٕ,,फायदा,
N,She is at an advantage for her knowledge of different languages.,advantage,فٲیدٕ,,बढ़त,
N,Her decision can be an advantage to the whole family.,advantage,مُژ،فٲیدٕ,,भलाई,
N,Pete Sampras won most of the advantage points in the game.,advantage,اٮ۪ڑوانٹیج,,एडवांटेज{टैनिस_के_केल_में_ड्युस_उपरांत_अर्जित_पहला_प्वाइंट},
N,A tall basketball player has an advantage of his height.,advantage,فٲیدٕ,,पूरा_लाभ_उठाना,
V,He took advantage of her trust by not giving him the correct details..,advantage,غَلط فٲیدٕ تُلُن,,गलत_फायदा_उठाना,
V,His representation in the Student union made an advantage to all his classmates.,advantage,فٲیدٕ دیُن,,पूरा_फायदा_उठाना,
N,Jim Corbet`s adventures in Kumaon are very thrilling.,adventure,دِلیری،بہادُری,,जोखिम_भरा_अनुभव,
N,Adverb is a Part of Speech.,adverb,ڈکھہٕ کرٛاوُت,,क्रिया_विशेषण,
V,All big companies advertise their products.,advertise,اشتِہار دیُن، اَڈوٹایِز کَرُن,,विज्ञापन_देना,
N,The apartment was not as good as the advertisement claimed.,advertisement,اِشتِہار,,विज्ञापन,
N,The new methods of advertising are very creative.,advertising,اِشتِہار کرنُک ذٔریعہ,,विज्ञापन_की_प्रणाली,
N,He gave me a compatible advice.,advice,مشوَرٕ,,सलाह,
N,You cannot take this medicine without a physician`s advice.,advice,صَلاح،مشوَرٕ,,सलाह/उपदेश,
V,The doctor advised him a complete rest.,advise,مَشوَرٕ دیُن,,सलाह_देना,
V,Please advise us when you will arrive here.,advise,زان کٲری دِنۍ،خَبَر دِنۍ,,सूचित_करना,
Adj,An advisory committee was formed to resolve the issue of pension.,advisory,صَلاح کٔمیٖٹی,,सलाहकारी,
V,We all advocate an anti-nuclear policy.,advocate,وَکالَت کَرٕنۍ,,वकालत_करना,
N,He is a well known advocate.,advocate,ؤکیٖل,,वकील,
N,I advocate the revision of present syllabus.,advocate,طَرَف دار,,समर्थक,
N,Travel by aeroplane saves lot of time.,aeroplane,ہوٲیی جہاز،وُژٕپرٛنگ,,वायुमान/हवाई_जहाज,
Adj,She has developed a good aesthetic sense.,aesthetic,جمالِیٲتی,,सौंदर्य_परख,
Adj,There has a potential aesthetic sensibility.,aesthetic,جمٲلی,,सौंदर्यप्रेमी,
Adj,Her designs are aesthetically mature and appreciable.,aesthetic,خوشوٕنۍ،خوٗبصوٗرت,,सुरुचिपूर्ण,
N,Please keep your personal affair out from this discussion.,affair,معاملٕہ,,कारोबार/व्यापार,
N,She is having an affair with the boy next door.,affair,لولُک معاملہٕ،عٔشق،ماے,,प्रेम_सम्बन्ध,
N,I need a constant information about the current affairs.,affair,معاملات,,घटनाक्रम,
V,The new budget will certainly affect the masses.,affect,متٲثر,,प्रभाव_डालना,
V,The convict affected an air of innocence.,affect,ہِتھ رَٹُن ،بَہانہٕ بَناوُن,,बहाना_करना,
Adj,He expressed affected feelings of sadness on his uncle died.,affected,بٔلۍ,,बनावटी,
N,I have a deep affection for you family.,affection,لول,,स्नेह,
V,The village has been severly afflicted with floods.,afflict,نۄقصان واتُن،دَدارِٕ واتُن,,त्रस्त_होना[करना],
V,I can`t afford to buy myself this dress at the moment.,afford,گُزارٕ آسُن،طاقَت تھاون,,वहन_कर_पाना,
V,They cannot afford a car right now.,afford,طاقَت تھاوُن،گُزارٕ آسُن,,जुटा_पाना{धन},
Adj,She was afraid for her childrren.,afraid,پھرٛٹہٕ ہوٚت,,भयभीत,
Adj,I am not afraid of dogs anymore.,afraid,خوف،ڈَر،پھرٛٹھ,,डरा_हुआ/भयभीत,
Prep,We will go for coffee after the meeting.,after,اَمِہ پَتہٕ,,के~बाद,
Adv,I will return after two weeks.,after,پَتٕہ,,बाद_में,
Adv,I was standing after him in the cue.,after,پٔتۍ کِنۍ,,पीछे,
Prep,We shall meet here the day after tomorrow.,after,پَتٕہ,,के_बाद,
Prep,The was gazing long after the children left.,after,"تُکنُے،اُکنُے, یُکنے",,की_ओर,
Prep,The police are after him badly.,after,تٔمِس پَتَے,,के_बारे_में,
Prep,He was named after his grandfather.,after,تَس پٮ۪ٹھ,,के_अनुसरण_पर,
Adj,We shall rectify these problems in the after years.,after,پوٚتُس,,बाद_का,
N,I don`t like people spoiling my sunday afternoon.,afternoon,پیٚشِن،دُپہَر,,तीसरा_पहर,
Adv,We can eat afterwards.,afterward,پوٚتُس,,तत्पश्चात,
Adv,I will try again tomorrow.,again,بیٚیہِ,,फिर_से/एक_बार_फिर/दुबारा/पुन,
Adv,It is very efficient and again it has its own inefficiency and disadvantages.,again,بیٚیِہ,,लेकिन_फिर,
Prep,We are sloganeering against Anarchy.,against,اَتھ خٕلاف،مُخٲلِف,,के~विरुद्ध,
Prep,India played superb against South Africa.,against,خٕلاف,,के_विरुद्ध,
Prep,I was leaning against the board for a long time.,against,سۭتۍ,,के_सहारे,
Prep,He stood firmly against the culprit.,against,مُقابلس منٛز,,से_अलग,
N,It is hard to calculate the age of this tree.,age,وٲنٛس،عُمٕر,,वय/उम्र,
N,We waited nearly for ages for the match to begin.,age,واریاہ کال،واریاہَس وقتس,,लम्बा_समय,
N,Modern age is the age of technology.,age,"زَمانٕہ, وقت",,युग,
N,It is an age old custom of that community.,age,پَتٕہ وَتٕہ،پَتٕہ کالِہ,,युगों,
V,The illness has aged him?,age,بٕڑراوُن,,उम्र_बढ़ना,
V,Ram seems to have aged very quickly.,age,بوٚڑگَژُھن ،وٲنٛسِہ یُن,,बड़ा_हो_जाना,
V,The brandy is aged for a period of ten years.,age,یُن،کَھسُن,,पुराना_होना,
Adj,I helped an aged man to cross the road.,aged,بٕڑٕ ،مٔرۍدِ یادَم,,वृद्ध,
N,We are begining to start the travel agency.,agency,ایٚجَنسی,,संस्था_{कर्तृत्व},
N,He is an insurance agent.,agent,رُکن,,प्रतिनिधि,
N,The agression of empires has lasted since antiquity.,aggression,حَملٕہ,,आक्रमण,
Adj,His aggressive attitude frightens me.,aggressive,طیٚشَل,,आक्रामक,
VT,The Union continues to agitate for higher pay?,agitate,"شور تُلُن, ہنگا مہٕ",,हलचल_मचाना,
Adv,They left this house ten years ago.,ago,برٛونٹھ,,पहले{बीता_हुआ},
VI,We will not agree on all their terms and conditions.,agree,اتِفاق تھاوُن ،مانُن,,सहमत_होना,
N,Please sign the agreement.,agreement,اِلحادٕ،مُحادٕ,,राज़ीनामा,
N,The talks between the two groups failed to reach to an agreement.,agreement,سَمجھوتہٕ,,सहमति,
N,The whole family was in agreement with her.,agreement,مُہٲیدٕ,,अन्विति{व्याकरण_में_संख्या/लिंग_या_वचन_में_समानता},
Adj,Our agricultural production was good due to good monsoon.,agricultural,زِرٲعتی,,कृषी_सम्बन्धी,
N,Indian economy depends on agriculture.,agriculture,زٔمیٖن دٲری,,खेती{कृषि},
Adv,You can go ahead of us.,ahead,برٛونٛٛٛہہ کُن,,आगे,
N,We can mobilize the aid for flood victims.,aid,اِمداد,,मदद,
N,The schools are not equipped with the teaching aids.,aid,سامان,,साधन,
VT,He was accused of aiding the criminal.,aid,مَدَت کَرُن,,मदद_करना,
N,Her aim is to become a pilot.,aim,مَقصَد,,लक्ष्य,
V,She is aiming at a scholarship.,aim,مَقصَد آسُن,,लक्षित_करना,
V,My remarks were not aimed at you.,aim,نِشانہٕ بَناوُن,,निशाना_बनाना,
N,She has an air of confidence about her.,air,ہاو باو,,हवा/दिखावटी_रूप,
N,Kick the football high in the air.,air,ہوا,,वायु,
N,We went to Mumbai by air.,air,ہوٲیی,,हवाई_जहाज,
N,That fort has an air of mystery about it.,air,ماحول,,रंग-ढंग,
VT,Air the wet sheet to make it dry.,air,ہوا دِیُن,,हवा_देना,
VT,"Don`t air your views to every Tom,Dick and Harry.",air,باوُن,,व्यक्त_करना,
N,He owns an aircraft.,aircraft,ہوٲیی جہاز,,वायुयान,
N,Ram went to the airport.,airport,ہوٲیی اَڈٕ,,हवाई_अड्डा,
N,I have to go to the airport to recieve my sister.,airport,ہوٲیی اَڈٕ,,हवाई_अड्डा,
N,A new international airport has been built in Cochin.,airport,ہوٲیی اَڈٕ,,विमानपत्तन,
N,The news filled me with alarm.,alarm,ژینہٕ وٕنۍ,,खतरे_का_संकेत,
N,The alarm bell was set off in the bank.,alarm,خطرٕچ گھننٹی,,संकट-घंटी,
N,Addiction to alcohol is disasterous to health.,alcohol,شرٛاب،مۄے,,मद्यसार{अलकोहल},
Adj,He is an alert listener in meetings.,alert,ہُشار,,सतर्क,
Adj,I felt like an alien with the new classmates.,alien,وۄپَر,,पराया,
N,I feel this celebration quite alien.,alien,نیٚبرِم،وۄپَر مُلکُک,,अन्यदेशी,
N,Depressive states of mind cause intense sense of alienation.,alienation,پَرژھیوٚن,,अन्यसंक्रमण,
Adv,They often think alike.,alike,ہِیوےٕ،اَکی طٔریٖقہٕ,,समान_रूप_से,
Adj,These two stories are almost alike.,alike,ہِشی,,समान,
Adj,Many people were buried here alive when the earthquake hit the area.,alive,زِنٛدٕ,,जीवित,
Adj,She is always alive and active.,alive,ترٛک،تٮ۪لنٛگہٕ,,फुर्तीला,
Adj,He is fully alive to the political issues.,alive,زٲنۍ یاب,,के_विषय_में_सचेत,
Det,They are all invited for the party.,all,تمام،،سٲری,,सभी,
Adj,His work was all mess.,all,سٲری,,सब,
Adj,We sat up all night.,all,پوٗرٕ,,सारा,
Adv,She lives all alone.,all,اَنٛدٕ وَنٛدٕ ،پوٗرٕ پٲٹھۍ,,पूर्ण_रुप_से,
N,They gave away all of their fortune to the victims.,all,سورُے,,सबकुछ,
V,He alleged his friend of the murder.,allege,اِلزام دیُن,,बिना_सबूत_के_आरोप_लगाना,
N,They swear allegiance to the flag.,allegiance,فَرمان بَردٲری,,निष्ठा_{राजभक्ति},
N,The Company entered into an alliance with the Bank.,alliance,مُہادٕ,,संगठन{संबंध},
Adj,USA and allied forces started bombing Yugoslavia.,allied,پاسدار,,सहबद्ध,
VT,The government shall allocate separate apartments to the employees.,allocate,مُقرَر کَرن,,निर्धारित_करना,
